#Data tag : 24v1 , Norm tag: composite
+-------------+-------------------+------+--------------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath                  | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+--------------------------+----------------+---------------+
| 301046:6072 | 08/12/17 03:36:15 | 62   | DST_HT410_PFScouting_v10 | 0.004479814    | 0.004222224   |
| 301141:6082 | 08/14/17 14:14:40 | 7    | DST_HT410_PFScouting_v10 | 0.000973564    | 0.000939304   |
| 301142:6082 | 08/14/17 14:20:37 | 897  | DST_HT410_PFScouting_v10 | 0.099533520    | 0.096263888   |
| 301161:6084 | 08/14/17 23:38:32 | 761  | DST_HT410_PFScouting_v10 | 0.103106812    | 0.098076752   |
| 301165:6084 | 08/15/17 04:39:09 | 145  | DST_HT410_PFScouting_v10 | 0.015700995    | 0.015464523   |
| 301179:6086 | 08/15/17 09:58:06 | 19   | DST_HT410_PFScouting_v10 | 0.003564659    | 0.002048255   |
| 301180:6086 | 08/15/17 10:08:13 | 92   | DST_HT410_PFScouting_v10 | 0.015853308    | 0.014830088   |
| 301183:6086 | 08/15/17 10:47:34 | 299  | DST_HT410_PFScouting_v10 | 0.048096786    | 0.045298745   |
| 301281:6089 | 08/16/17 01:07:41 | 120  | DST_HT410_PFScouting_v10 | 0.019988319    | 0.018542081   |
| 301283:6089 | 08/16/17 01:59:33 | 884  | DST_HT410_PFScouting_v10 | 0.124060362    | 0.120005149   |
| 301298:6090 | 08/16/17 11:17:06 | 905  | DST_HT410_PFScouting_v10 | 0.159892976    | 0.153992530   |
| 301323:6091 | 08/16/17 20:21:28 | 954  | DST_HT410_PFScouting_v10 | 0.173706164    | 0.165060316   |
| 301330:6093 | 08/17/17 07:31:24 | 332  | DST_HT410_PFScouting_v10 | 0.068402210    | 0.064442940   |
| 301359:6094 | 08/17/17 13:07:05 | 287  | DST_HT410_PFScouting_v10 | 0.061037999    | 0.057278251   |
| 301384:6096 | 08/17/17 17:43:36 | 476  | DST_HT410_PFScouting_v10 | 0.098240901    | 0.094353980   |
| 301391:6097 | 08/17/17 23:43:51 | 175  | DST_HT410_PFScouting_v10 | 0.036727058    | 0.034574486   |
| 301392:6097 | 08/18/17 00:57:14 | 627  | DST_HT410_PFScouting_v10 | 0.114412856    | 0.110226143   |
| 301393:6097 | 08/18/17 05:04:23 | 17   | DST_HT410_PFScouting_v10 | 0.002714215    | 0.002604790   |
| 301396:6097 | 08/18/17 05:39:05 | 26   | DST_HT410_PFScouting_v10 | 0.004032400    | 0.003739861   |
| 301397:6097 | 08/18/17 05:55:16 | 719  | DST_HT410_PFScouting_v10 | 0.097215562    | 0.094047999   |
| 301398:6097 | 08/18/17 10:43:04 | 9    | DST_HT410_PFScouting_v10 | 0.001061312    | 0.000559291   |
| 301399:6097 | 08/18/17 10:50:12 | 108  | DST_HT410_PFScouting_v10 | 0.012455935    | 0.012282390   |
| 301417:6098 | 08/18/17 14:47:02 | 318  | DST_HT410_PFScouting_v10 | 0.070564433    | 0.067689348   |
| 301447:6104 | 08/19/17 13:30:21 | 422  | DST_HT410_PFScouting_v10 | 0.075105349    | 0.071877413   |
| 301448:6104 | 08/19/17 16:20:04 | 325  | DST_HT410_PFScouting_v10 | 0.049561726    | 0.048021203   |
| 301449:6104 | 08/19/17 18:30:03 | 398  | DST_HT410_PFScouting_v10 | 0.052515789    | 0.049332905   |
| 301450:6104 | 08/19/17 21:07:02 | 173  | DST_HT410_PFScouting_v10 | 0.019921165    | 0.019426093   |
| 301461:6105 | 08/20/17 01:00:39 | 554  | DST_HT410_PFScouting_v10 | 0.105323013    | 0.098121789   |
| 301472:6106 | 08/20/17 16:12:07 | 796  | DST_HT410_PFScouting_v10 | 0.142605725    | 0.138032774   |
| 301475:6106 | 08/20/17 21:47:00 | 12   | DST_HT410_PFScouting_v10 | 0.001818597    | 0.001558199   |
| 301476:6106 | 08/20/17 21:53:54 | 844  | DST_HT410_PFScouting_v10 | 0.110610607    | 0.107777845   |
| 301519:6110 | 08/21/17 15:13:28 | 203  | DST_HT410_PFScouting_v10 | 0.036983330    | 0.033366887   |
| 301524:6110 | 08/21/17 16:45:22 | 257  | DST_HT410_PFScouting_v10 | 0.042620581    | 0.041078320   |
| 301529:6110 | 08/21/17 19:22:10 | 49   | DST_HT410_PFScouting_v10 | 0.007311108    | 0.006578466   |
| 301530:6110 | 08/21/17 19:44:34 | 107  | DST_HT410_PFScouting_v10 | 0.015324776    | 0.014335108   |
| 301531:6110 | 08/21/17 20:34:34 | 393  | DST_HT410_PFScouting_v10 | 0.050045539    | 0.048371775   |
| 301532:6110 | 08/21/17 23:12:59 | 611  | DST_HT410_PFScouting_v10 | 0.063969619    | 0.062657289   |
| 301567:6114 | 08/22/17 10:46:48 | 359  | DST_HT410_PFScouting_v10 | 0.066519188    | 0.063339395   |
| 301627:6116 | 08/23/17 01:21:42 | 887  | DST_HT410_PFScouting_v10 | 0.134206965    | 0.131459419   |
| 301664:6119 | 08/23/17 14:24:23 | 411  | DST_HT410_PFScouting_v10 | 0.073062089    | 0.070386122   |
| 301665:6119 | 08/23/17 17:07:51 | 463  | DST_HT410_PFScouting_v10 | 0.069777093    | 0.068033935   |
| 301694:6123 | 08/24/17 06:23:23 | 67   | DST_HT410_PFScouting_v10 | 0.019312015    | 0.017576373   |
| 301912:6136 | 08/26/17 15:57:23 | 332  | DST_HT410_PFScouting_v10 | 0.040029269    | 0.038278525   |
| 301913:6136 | 08/26/17 18:26:53 | 55   | DST_HT410_PFScouting_v10 | 0.006274393    | 0.005957840   |
| 301914:6136 | 08/26/17 18:50:05 | 350  | DST_HT410_PFScouting_v10 | 0.036518759    | 0.035547414   |
| 301941:6138 | 08/27/17 11:32:02 | 538  | DST_HT410_PFScouting_v10 | 0.077012816    | 0.074506652   |
| 301959:6140 | 08/27/17 20:23:25 | 1909 | DST_HT410_PFScouting_v10 | 0.283762721    | 0.275846203   |
| 301960:6140 | 08/28/17 08:47:35 | 147  | DST_HT410_PFScouting_v10 | 0.014556974    | 0.014257568   |
| 301970:6141 | 08/28/17 12:42:12 | 118  | DST_HT410_PFScouting_v10 | 0.023055199    | 0.022349098   |
| 301984:6142 | 08/28/17 16:13:01 | 300  | DST_HT410_PFScouting_v10 | 0.058809932    | 0.055474662   |
| 301985:6142 | 08/28/17 18:11:52 | 360  | DST_HT410_PFScouting_v10 | 0.062112301    | 0.060037889   |
| 301986:6142 | 08/28/17 20:34:30 | 379  | DST_HT410_PFScouting_v10 | 0.055927889    | 0.054356914   |
| 301987:6142 | 08/28/17 23:03:26 | 1128 | DST_HT410_PFScouting_v10 | 0.124891455    | 0.122752521   |
| 301997:6143 | 08/29/17 08:55:19 | 361  | DST_HT410_PFScouting_v10 | 0.068127128    | 0.065075702   |
| 301998:6143 | 08/29/17 11:19:31 | 1704 | DST_HT410_PFScouting_v10 | 0.221794375    | 0.217462642   |
| 302019:6146 | 08/30/17 05:40:54 | 53   | DST_HT410_PFScouting_v10 | 0.009802270    | 0.009112865   |
| 302448:6174 | 09/06/17 22:48:45 | 1898 | DST_HT410_PFScouting_v11 | 0.315621379    | 0.307866591   |
| 302026:6147 | 08/30/17 08:49:09 | 30   | DST_HT410_PFScouting_v11 | 0.005227350    | 0.004651888   |
| 302029:6147 | 08/30/17 09:16:38 | 92   | DST_HT410_PFScouting_v11 | 0.018613804    | 0.015281544   |
| 302031:6147 | 08/30/17 10:08:29 | 814  | DST_HT410_PFScouting_v11 | 0.134165173    | 0.128521640   |
| 302033:6147 | 08/30/17 15:34:23 | 41   | DST_HT410_PFScouting_v11 | 0.005614082    | 0.005173654   |
| 302034:6147 | 08/30/17 15:54:42 | 12   | DST_HT410_PFScouting_v11 | 0.001619056    | 0.000483548   |
| 302037:6147 | 08/30/17 16:25:38 | 2    | DST_HT410_PFScouting_v11 | 0.000262085    | 0.000060437   |
| 302038:6147 | 08/30/17 16:31:57 | 1    | DST_HT410_PFScouting_v11 | 0.000130110    | 0.000008983   |
| 302040:6147 | 08/30/17 16:35:43 | 168  | DST_HT410_PFScouting_v11 | 0.021432399    | 0.020954841   |
| 302041:6147 | 08/30/17 17:44:00 | 65   | DST_HT410_PFScouting_v11 | 0.007907780    | 0.007738133   |
| 302042:6147 | 08/30/17 18:12:11 | 516  | DST_HT410_PFScouting_v11 | 0.056165956    | 0.054983585   |
| 302043:6147 | 08/30/17 21:35:17 | 228  | DST_HT410_PFScouting_v11 | 0.021191557    | 0.020761524   |
| 302131:6152 | 08/31/17 14:32:49 | 873  | DST_HT410_PFScouting_v11 | 0.114100110    | 0.111634653   |
| 302159:6155 | 09/01/17 02:37:45 | 108  | DST_HT410_PFScouting_v11 | 0.016991342    | 0.016076609   |
| 302163:6156 | 09/01/17 05:33:23 | 1189 | DST_HT410_PFScouting_v11 | 0.151386199    | 0.146312058   |
| 302165:6156 | 09/01/17 13:25:29 | 80   | DST_HT410_PFScouting_v11 | 0.007239511    | 0.006889986   |
| 302166:6156 | 09/01/17 13:58:48 | 16   | DST_HT410_PFScouting_v11 | 0.001543379    | 0.001518820   |
| 302225:6158 | 09/01/17 20:41:42 | 868  | DST_HT410_PFScouting_v11 | 0.117430288    | 0.114788470   |
| 302228:6159 | 09/02/17 05:31:11 | 234  | DST_HT410_PFScouting_v11 | 0.039717461    | 0.038240724   |
| 302229:6159 | 09/02/17 07:05:33 | 457  | DST_HT410_PFScouting_v11 | 0.069211592    | 0.067570786   |
| 302240:6160 | 09/02/17 12:53:49 | 960  | DST_HT410_PFScouting_v11 | 0.141917734    | 0.138868374   |
| 302262:6161 | 09/03/17 05:32:01 | 428  | DST_HT410_PFScouting_v11 | 0.078833217    | 0.075969816   |
| 302263:6161 | 09/03/17 08:21:33 | 1250 | DST_HT410_PFScouting_v11 | 0.168935530    | 0.165383267   |
| 302277:6165 | 09/04/17 00:44:53 | 372  | DST_HT410_PFScouting_v11 | 0.055365409    | 0.053761113   |
| 302279:6165 | 09/04/17 09:35:57 | 70   | DST_HT410_PFScouting_v11 | 0.006381986    | 0.005862909   |
| 302280:6165 | 09/04/17 10:06:51 | 152  | DST_HT410_PFScouting_v11 | 0.012808800    | 0.012611393   |
| 302322:6167 | 09/04/17 19:43:03 | 838  | DST_HT410_PFScouting_v11 | 0.099513483    | 0.096870474   |
| 302328:6168 | 09/05/17 03:49:04 | 681  | DST_HT410_PFScouting_v11 | 0.096130173    | 0.093450403   |
| 302337:6169 | 09/05/17 11:16:54 | 127  | DST_HT410_PFScouting_v11 | 0.022010484    | 0.020376770   |
| 302342:6169 | 09/05/17 12:22:40 | 54   | DST_HT410_PFScouting_v11 | 0.009166992    | 0.006933228   |
| 302343:6169 | 09/05/17 12:52:16 | 97   | DST_HT410_PFScouting_v11 | 0.015871197    | 0.015318244   |
| 302344:6169 | 09/05/17 13:33:14 | 480  | DST_HT410_PFScouting_v11 | 0.070481221    | 0.068798124   |
| 302350:6169 | 09/05/17 17:02:18 | 136  | DST_HT410_PFScouting_v11 | 0.016753059    | 0.016492993   |
| 302388:6170 | 09/05/17 20:47:02 | 685  | DST_HT410_PFScouting_v11 | 0.130525792    | 0.126263558   |
| 302392:6171 | 09/06/17 03:57:37 | 355  | DST_HT410_PFScouting_v11 | 0.079098757    | 0.074911826   |
| 302393:6171 | 09/06/17 06:19:09 | 887  | DST_HT410_PFScouting_v11 | 0.160742391    | 0.157322303   |
| 302472:6175 | 09/07/17 13:26:58 | 781  | DST_HT410_PFScouting_v11 | 0.161048569    | 0.154748577   |
| 302473:6175 | 09/07/17 18:32:57 | 368  | DST_HT410_PFScouting_v11 | 0.062080006    | 0.060432748   |
| 302474:6175 | 09/07/17 21:17:17 | 305  | DST_HT410_PFScouting_v11 | 0.045529150    | 0.043413267   |
